date,signal,confidence,entry,stopLoss,target,risk,reward,riskReward,mlPrediction,morningMove,morningRSI,actualAfternoonMove,outcome,reasoning
2025-07-24,SHORT,72.20,24402.49,24502.96,24101.09,100.47,301.40,3.00,-0.2195,-0.26,32.50,-0.64,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-01-03,SHORT,72.07,19967.70,20034.10,19768.50,66.40,199.20,3.00,-0.2067,-0.17,50.09,-0.31,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-03-28,SHORT,72.02,22460.99,22619.46,21985.59,158.47,475.40,3.00,-0.2017,-0.28,32.83,-0.03,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-04-10,SHORT,72.01,20744.28,20904.99,20262.14,160.71,482.13,3.00,-0.2010,-0.53,45.09,-0.07,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-09-26,SHORT,71.72,23612.77,23688.76,23384.80,75.99,227.97,3.00,-0.1717,-0.16,46.49,0.57,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-02-21,SHORT,71.60,22302.30,22355.27,22143.40,52.97,158.90,3.00,-0.1601,-0.13,44.95,-0.56,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-10-23,SHORT,71.59,24068.90,24133.78,23874.27,64.88,194.63,3.00,-0.1586,-0.21,46.61,0.58,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-10-31,SHORT,71.58,24003.80,24136.77,23604.90,132.97,398.90,3.00,-0.1582,-0.53,37.24,-0.15,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-07-10,SHORT,71.47,24586.28,24617.40,24492.91,31.12,93.37,3.00,-0.1473,-0.04,44.89,-0.60,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-07-04,SHORT,71.46,23772.28,23820.40,23627.91,48.12,144.37,3.00,-0.1463,-0.02,51.87,0.01,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-09-12,SHORT,71.20,23629.79,23698.29,23424.29,68.50,205.50,3.00,-0.1202,-0.20,41.02,0.29,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-01-02,SHORT,71.05,19911.10,20022.50,19576.90,111.40,334.20,3.00,-0.1049,-0.14,46.15,0.26,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP; RSI not oversold
2025-03-20,SHORT,65.18,22983.27,23321.87,21967.47,338.60,1015.80,3.00,-0.5183,-1.31,23.11,-0.10,WIN,ML predicts bearish afternoon; Morning session bearish; Price below VWAP
2025-09-25,SHORT,61.66,23471.29,23617.26,23033.39,145.97,437.90,3.00,-0.1655,-0.54,27.69,0.41,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP
2025-09-19,SHORT,61.13,23639.90,23787.90,23195.90,148.00,444.00,3.00,-0.1128,-0.46,28.58,0.03,LOSS,ML predicts bearish afternoon; Morning session bearish; Price below VWAP
